cuda_line,cuda_source,sass_addr,sass_text,warp_stall_all,warp_stall_not_issued,sample_count,inst_executed,thread_inst_executed,thread_inst_pred_on,avg_threads,avg_threads_pred_on,divergent_branches,address_space,access_operation,access_size,l1_tag_global,l1_conflicts_nway,l2_sectors_excess,l2_sectors_global,l2_sectors_ideal,l2_evict_policies,l2_hit_evict_first,l2_hit_evict_last,l2_hit_evict_normal,l2_hit_evict_normal_demote,l2_miss_evict_first,l2_miss_evict_normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier_ni,stall_branch_resolving_ni,stall_dispatch_ni,stall_drain_ni,stall_imc_ni,stall_lg_ni,stall_long_sb_ni,stall_math_ni,stall_membar_ni,stall_mio_ni,stall_misc_ni,stall_no_inst_ni,stall_not_selected_ni,stall_selected_ni,stall_short_sb_ni,stall_sleeping_ni,stall_tex_ni,stall_wait_ni
12,for (int k = 0; k < n; k++) {,0x202155120,"ISETP.GE.AND P0, PT, R19, 0x1, PT",0,0,0,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x202155130,@!P0  BRA 0x202155c60,5,2,5,8192,262144,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,for (int k = 0; k < n; k++) {,0x202155140,"IADD3 R2, R19, -0x1, RZ",5,0,5,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x202155150,"LOP3.LUT R20, R19, 0x3, RZ, 0xc0, !PT",1,0,1,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x202155160,"ISETP.GE.U32.AND P0, PT, R2, 0x3, PT",2,0,2,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x202155170,"MOV R34, RZ",0,0,0,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x202155180,"MOV R18, RZ",0,0,0,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x202155190,@!P0  BRA 0x202155b40,2,1,2,8192,262144,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,for (int k = 0; k < n; k++) {,0x2021551a0,"IADD3 R22, -R20, c[0x0][0x178], RZ",1,1,1,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,for (int k = 0; k < n; k++) {,0x2021551b0,"HFMA2.MMA R7, -RZ, RZ, 0, 2.384185791015625e-07",0,0,0,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x2021551c0,"ULDC.64 UR6, c[0x0][0x160]",0,0,0,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x2021551d0,"HFMA2.MMA R18, -RZ, RZ, 0, 0",0,0,0,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
